Country,Province,City,Job_Title,Low_Salary_Yearly,Median_Salary_Yearly,Max_Salary_Yearly,Currency,Year,Cost_of_Living_Yearly
Canada,AB,Athabasca--Grande Prairie--Peace River,Urban and land use planners,32750,50000,75480,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Land surveyors,25000,37900,57690,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Mathematicians, statisticians and actuaries",37260,48150,81720,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Information systems analysts and consultants,27010,41830,59630,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Database analysts and data administrators,24040,42380,63080,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Software engineers and designers,28850,49040,72120,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Computer programmers and interactive media developers,22600,36060,55530,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Web designers and developers,21630,28850,50230,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Chemical technologists and technicians,18350,28000,50960,CAD,2015-2016,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Geological and mineral technologists and technicians,23030,36000,71050,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Biological technologists and technicians,22000,33330,37950,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Agricultural and fish products inspectors,27000,36510,46000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Forestry technologists and technicians,19750,30570,49910,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Conservation and fishery officers,31580,35660,43940,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Landscape and horticulture technicians and specialists,15000,28850,46150,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Civil engineering technologists and technicians,17910,29860,47180,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Mechanical engineering technologists and technicians,27880,45000,64100,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Industrial engineering and manufacturing technologists and technicians,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Construction estimators,20000,37080,59620,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Electrical and electronics engineering technologists and technicians,29330,39000,51280,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Electronic service technicians (household and business equipment),16500,31150,61980,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Industrial instrument technicians and mechanics,20000,40000,62040,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Architectural technologists and technicians,23550,35000,50060,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Industrial designers,18000,31250,42850,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Drafting technologists and technicians,22000,33750,55290,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Land survey technologists and technicians,19720,32680,110430,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Technical occupations in geomatics and meteorology,27690,36540,46760,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Non-destructive testers and inspection technicians,20000,36000,50000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Engineering inspectors and regulatory officers,28500,42740,62950,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Inspectors in public and environmental health and occupational health and safety,24040,35000,67310,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Construction inspectors,22150,45000,62500,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Air pilots, flight engineers and flying instructors",19230,40000,62500,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Air traffic controllers and related occupations,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Deck officers, water transport",0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Engineer officers, water transport",0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Railway traffic controllers and marine traffic regulators,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Computer network technicians,26830,39500,57690,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,User support technicians,19250,30290,55290,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Information systems testing technicians,25720,32020,40610,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Nursing co-ordinators and supervisors,24000,44000,60800,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Registered nurses and registered psychiatric nurses,32310,42300,51000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Specialist physicians,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,General practitioners and family physicians,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Dentists,50061000,137517000,312148000,CAD,2016,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Veterinarians,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Optometrists,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Chiropractors,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Allied primary health practitioners,32780,54130,54130,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Other professional occupations in health diagnosing and treating,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Pharmacists,60237000,109366000,135846000,CAD,2016,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Dietitians and nutritionists,35000,41000,50000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Audiologists and speech-language pathologists,23630,48000,55670,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Physiotherapists,33650,44700,60000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Occupational therapists,34000,46000,51340,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Other professional occupations in therapy and assessment,18000,27690,46000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Medical laboratory technologists,31000,40420,48800,CAD,2016-2017,28000
